"","od","num_airlines","average_delay","origin","dest","airport_origin","city_origin","state_origin","country_origin","latitude_origin","longitude_origin","airport_destination","city_destination","state_destination","country_destination","latitude_destination","longitude_destination"
"164","MSPPHX",4,0.110041537761017,"MSP","PHX","Minneapolis-Saint Paul International Airport","Minneapolis","MN","USA",44.88055,-93.21692,"Phoenix Sky Harbor International Airport","Phoenix","AZ","USA",33.43417,-112.00806
"165","LAXOGG",4,0.10971004957799,"LAX","OGG","Los Angeles International Airport","Los Angeles","CA","USA",33.94254,-118.40807,"Kahului Airport","Kahului","HI","USA",20.89865,-156.43046
"166","PDXSFO",3,0.10570615448334,"PDX","SFO","Portland International Airport","Portland","OR","USA",45.58872,-122.5975,"San Francisco International Airport","San Francisco","CA","USA",37.619,-122.37484
"167","PHXSLC",4,0.105683637016215,"PHX","SLC","Phoenix Sky Harbor International Airport","Phoenix","AZ","USA",33.43417,-112.00806,"Salt Lake City International Airport","Salt Lake City","UT","USA",40.78839,-111.97777
"168","DENSNA",3,0.10510929459486,"DEN","SNA","Denver International Airport","Denver","CO","USA",39.85841,-104.667,"John Wayne Airport (Orange County Airport)","Santa Ana","CA","USA",33.67566,-117.86822
"169","ANCSEA",3,0.102754555071724,"ANC","SEA","Ted Stevens Anchorage International Airport","Anchorage","AK","USA",61.17432,-149.99619,"Seattle-Tacoma International Airport","Seattle","WA","USA",47.44898,-122.30931
"170","ATLCLE",3,0.101850387254687,"ATL","CLE","Hartsfield-Jackson Atlanta International Airport","Atlanta","GA","USA",33.64044,-84.42694,"Cleveland Hopkins International Airport","Cleveland","OH","USA",41.41089,-81.8494
"171","LASPDX",3,0.101252670535858,"LAS","PDX","McCarran International Airport","Las Vegas","NV","USA",36.08036,-115.15233,"Portland International Airport","Portland","OR","USA",45.58872,-122.5975
"172","BOSDTW",3,0.099822367009867,"BOS","DTW","Gen. Edward Lawrence Logan International Airport","Boston","MA","USA",42.36435,-71.00518,"Detroit Metropolitan Airport","Detroit","MI","USA",42.21206,-83.34884
"173","ATLSFO",3,0.098386081170607,"ATL","SFO","Hartsfield-Jackson Atlanta International Airport","Atlanta","GA","USA",33.64044,-84.42694,"San Francisco International Airport","San Francisco","CA","USA",37.619,-122.37484
"174","AUSLAX",4,0.0953241308563329,"AUS","LAX","Austin-Bergstrom International Airport","Austin","TX","USA",30.19453,-97.66987,"Los Angeles International Airport","Los Angeles","CA","USA",33.94254,-118.40807
"175","DTWPHX",3,0.0941180578718246,"DTW","PHX","Detroit Metropolitan Airport","Detroit","MI","USA",42.21206,-83.34884,"Phoenix Sky Harbor International Airport","Phoenix","AZ","USA",33.43417,-112.00806
"176","KOALAX",4,0.0936721208128005,"KOA","LAX","Kona International Airport at Keahole","Kailua/Kona","HI","USA",19.73877,-156.04563,"Los Angeles International Airport","Los Angeles","CA","USA",33.94254,-118.40807
"177","BNADEN",3,0.0934573727369145,"BNA","DEN","Nashville International Airport","Nashville","TN","USA",36.12448,-86.67818,"Denver International Airport","Denver","CO","USA",39.85841,-104.667
"178","MSPRSW",3,0.0934185527257165,"MSP","RSW","Minneapolis-Saint Paul International Airport","Minneapolis","MN","USA",44.88055,-93.21692,"Southwest Florida International Airport","Ft. Myers","FL","USA",26.53617,-81.75517
"179","LASOAK",3,0.0926622014845192,"LAS","OAK","McCarran International Airport","Las Vegas","NV","USA",36.08036,-115.15233,"Oakland International Airport","Oakland","CA","USA",37.72129,-122.22072
"180","SFOSLC",3,0.0915710149312811,"SFO","SLC","San Francisco International Airport","San Francisco","CA","USA",37.619,-122.37484,"Salt Lake City International Airport","Salt Lake City","UT","USA",40.78839,-111.97777
"181","DTWMCO",4,0.0915624709876789,"DTW","MCO","Detroit Metropolitan Airport","Detroit","MI","USA",42.21206,-83.34884,"Orlando International Airport","Orlando","FL","USA",28.42889,-81.31603
"182","LAXSEA",5,0.089868875435908,"LAX","SEA","Los Angeles International Airport","Los Angeles","CA","USA",33.94254,-118.40807,"Seattle-Tacoma International Airport","Seattle","WA","USA",47.44898,-122.30931
"183","ATLPHX",3,0.0898210329923402,"ATL","PHX","Hartsfield-Jackson Atlanta International Airport","Atlanta","GA","USA",33.64044,-84.42694,"Phoenix Sky Harbor International Airport","Phoenix","AZ","USA",33.43417,-112.00806
"184","ATLMSP",3,0.0895095357783232,"ATL","MSP","Hartsfield-Jackson Atlanta International Airport","Atlanta","GA","USA",33.64044,-84.42694,"Minneapolis-Saint Paul International Airport","Minneapolis","MN","USA",44.88055,-93.21692
"185","HNLPDX",3,0.0873800646628452,"HNL","PDX","Honolulu International Airport","Honolulu","HI","USA",21.31869,-157.92241,"Portland International Airport","Portland","OR","USA",45.58872,-122.5975
"186","PDXPHX",3,0.0866818727114835,"PDX","PHX","Portland International Airport","Portland","OR","USA",45.58872,-122.5975,"Phoenix Sky Harbor International Airport","Phoenix","AZ","USA",33.43417,-112.00806
"187","ATLRSW",3,0.0848711157379346,"ATL","RSW","Hartsfield-Jackson Atlanta International Airport","Atlanta","GA","USA",33.64044,-84.42694,"Southwest Florida International Airport","Ft. Myers","FL","USA",26.53617,-81.75517
"188","LAXLIH",4,0.084579570278829,"LAX","LIH","Los Angeles International Airport","Los Angeles","CA","USA",33.94254,-118.40807,"Lihue Airport","Lihue","HI","USA",21.97598,-159.33896
"189","SEASMF",3,0.0764668047832807,"SEA","SMF","Seattle-Tacoma International Airport","Seattle","WA","USA",47.44898,-122.30931,"Sacramento International Airport","Sacramento","CA","USA",38.69542,-121.59077
"190","SANSEA",3,0.0762996624811285,"SAN","SEA","San Diego International Airport (Lindbergh Field)","San Diego","CA","USA",32.73356,-117.18966,"Seattle-Tacoma International Airport","Seattle","WA","USA",47.44898,-122.30931
"191","BOSCLE",3,0.06637223525575,"BOS","CLE","Gen. Edward Lawrence Logan International Airport","Boston","MA","USA",42.36435,-71.00518,"Cleveland Hopkins International Airport","Cleveland","OH","USA",41.41089,-81.8494
"192","ATLSEA",3,0.0645118684618184,"ATL","SEA","Hartsfield-Jackson Atlanta International Airport","Atlanta","GA","USA",33.64044,-84.42694,"Seattle-Tacoma International Airport","Seattle","WA","USA",47.44898,-122.30931
"193","MSPTPA",3,0.059415620328049,"MSP","TPA","Minneapolis-Saint Paul International Airport","Minneapolis","MN","USA",44.88055,-93.21692,"Tampa International Airport","Tampa","FL","USA",27.97547,-82.53325
"194","PDXSAN",3,0.0481698751548174,"PDX","SAN","Portland International Airport","Portland","OR","USA",45.58872,-122.5975,"San Diego International Airport (Lindbergh Field)","San Diego","CA","USA",32.73356,-117.18966
